" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example F: a seismically-isolated building model (units: N  mm  ton)                "
" Sun Nov  1 22:45:13 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 55 , 173  , 213  
 Last Row , 1 , 52 , 170 , 208 , 328 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,      1.31596e+00,    0.0,     -1.26531e-05, -4.12593e-06,    0.0,    
     2,    0.0,      1.31596e+00, -1.99841e-03, -1.26315e-05, -1.21132e-06,    0.0,    
     3,    0.0,      1.31601e+00, -1.83226e-03,  1.19709e-05, -1.06615e-06,    0.0,    
     4,    0.0,      1.31601e+00,    0.0,      1.18554e-05, -4.12514e-06,    0.0,    
     5,    0.0,      1.31624e+00,    0.0,     -2.02577e-05,    0.0,        0.0,    
     6,    0.0,      1.31627e+00, -2.08364e-02,  3.77069e-08,    0.0,        0.0,    
     7,    0.0,      1.31629e+00,    0.0,      1.98285e-05,    0.0,        0.0,    
     8,    0.0,      1.31596e+00,    0.0,     -1.28543e-05,  4.12643e-06,    0.0,    
     9,    0.0,      1.31596e+00, -2.02389e-03, -1.28355e-05,  1.21413e-06,    0.0,    
    10,    0.0,      1.31600e+00, -1.98546e-03,  1.23898e-05,  1.21390e-06,    0.0,    
    11,    0.0,      1.31601e+00,    0.0,      1.23119e-05,  4.12561e-06,    0.0,    
    12,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    13,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    14,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    15,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    16,  2.72905e-05,  1.34200e+00, -1.04082e-01, -5.89454e-05, -6.20001e-06, -6.44095e-08,
    17,  1.81842e-05,  1.34210e+00, -1.04366e-01,  5.04428e-05, -6.21556e-06, -4.96193e-08,
    18,  5.04154e-06,  1.34214e+00, -1.07268e-01, -5.55180e-05,    0.0,      1.26628e-08,
    19,  1.91673e-07,  1.34218e+00, -1.63172e-01,  1.64549e-06,    0.0,        0.0,    
    20, -4.79752e-06,  1.34222e+00, -1.07598e-01,  4.68175e-05,    0.0,      1.28618e-08,
    21, -1.72180e-05,  1.34195e+00, -1.04082e-01, -5.89173e-05,  6.20368e-06,  8.36925e-08,
    22, -2.77651e-05,  1.34205e+00, -1.04366e-01,  5.04075e-05,  6.21188e-06,  6.92219e-08,
    23,  6.74647e-05,  1.36786e+00, -1.70670e-01, -5.06021e-05, -5.76715e-06, -7.05052e-07,
    24,  5.89367e-05,  1.36794e+00, -1.71110e-01,  4.30004e-05, -5.78145e-06, -7.03810e-07,
    25,  7.48687e-06,  1.36953e+00, -1.75869e-01, -4.93021e-05,    0.0,        0.0,    
    26,  1.22260e-07,  1.36957e+00, -2.27236e-01,  1.71449e-06,    0.0,        0.0,    
    27, -7.22807e-06,  1.36961e+00, -1.76397e-01,  3.97893e-05,    0.0,        0.0,    
    28, -5.24845e-05,  1.36782e+00, -1.70670e-01, -5.06075e-05,  5.76837e-06,  7.19726e-07,
    29, -7.33997e-05,  1.36790e+00, -1.71110e-01,  4.30011e-05,  5.78024e-06,  7.18451e-07,
    30, -1.86750e-04,  1.38513e+00, -2.01093e-01, -6.89743e-05, -1.06541e-05, -4.21051e-06,
    31, -1.70731e-04,  1.38480e+00, -2.01578e-01,  6.52666e-05, -1.06903e-05, -4.22060e-06,
    32,  8.17458e-06,  1.39516e+00, -2.07303e-01, -6.65405e-05,    0.0,        0.0,    
    33,  1.31399e-07,  1.39510e+00, -2.72161e-01,  8.53613e-07,    0.0,        0.0,    
    34, -7.91334e-06,  1.39485e+00, -2.07896e-01,  6.10025e-05,    0.0,        0.0,    
    35,  2.03105e-04,  1.38510e+00, -2.01093e-01, -6.89746e-05,  1.06546e-05,  4.22378e-06,
    36,  1.54900e-04,  1.38477e+00, -2.01578e-01,  6.52656e-05,  1.06899e-05,  4.23387e-06,
"F R A M E   E L E M E N T   E N D   F O R C E S  (local)"
Elmnt , Node  ,    Nx     ,    Vy   ,     Vz   ,     Txx   ,    Myy  ,     Mzz
     1,     1,  3.26552e+04,  2.62194e+01,  4.04764e+01,  2.67861e-01, -3.11208e+04,  1.32757e+04,
     1,    16, -3.22737e+04, -2.62194e+01, -4.04764e+01, -2.67861e-01, -3.61450e+04,  2.95311e+04,
     2,    16,  2.17543e+04,  5.37217e+01,  5.02451e+01,  2.76749e+00, -4.07399e+04,  4.42519e+04,
     2,    23, -2.13951e+04, -5.37217e+01, -5.02451e+01, -2.76749e+00, -3.96489e+04,  4.11730e+04,
     3,    23,  1.08594e+04,  7.83034e+01,  7.75081e+01,  1.64264e+01, -5.04690e+04,  5.39429e+04,
     3,    30, -1.05252e+04, -7.83034e+01, -7.75081e+01, -1.64264e+01, -6.38504e+04,  6.13715e+04,
     4,     4,  3.27440e+04, -5.95792e+01,  4.04913e+01,  2.06353e-01, -3.11133e+04, -4.30696e+04,
     4,    17, -3.23625e+04,  5.95792e+01, -4.04913e+01, -2.06353e-01, -3.61771e+04, -5.66183e+04,
     5,    17,  2.18044e+04, -8.66704e+01,  5.03729e+01,  2.82602e+00, -4.08437e+04, -7.09322e+04,
     5,    24, -2.14452e+04,  8.66704e+01, -5.03729e+01, -2.82602e+00, -3.97496e+04, -6.81858e+04,
     6,    24,  1.08754e+04, -1.06538e+02,  7.79118e+01,  1.64795e+01, -5.07369e+04, -7.41363e+04,
     6,    31, -1.05412e+04,  1.06538e+02, -7.79118e+01, -1.64795e+01, -6.41782e+04, -8.31393e+04,
     7,     5,  3.36492e+04,  2.90056e+01,  2.36111e-02, -5.26608e-02, -1.98345e+01,  1.75220e+04,
     7,    18, -3.32677e+04, -2.90056e+01, -2.36111e-02,  5.26608e-02, -1.95504e+01,  2.98924e+04,
     8,    18,  2.24062e+04,  4.91532e+01,  1.24398e-02,  1.86365e-02, -9.91865e+00,  4.01823e+04,
     8,    25, -2.20470e+04, -4.91532e+01, -1.24398e-02, -1.86365e-02, -1.00324e+01,  3.78897e+04,
     9,    25,  1.12148e+04,  6.61006e+01,  4.39370e-03,  6.02247e-03, -3.23140e+00,  4.51312e+04,
     9,    32, -1.08806e+04, -6.61006e+01, -4.39370e-03, -6.02247e-03, -3.25587e+00,  5.20996e+04,
    10,     7,  3.37522e+04, -6.22191e+01, -2.22244e-02, -5.34886e-02,  1.84556e+01, -4.73101e+04,
    10,    20, -3.33707e+04,  6.22191e+01,  2.22244e-02,  5.34886e-02,  1.86179e+01, -5.67778e+04,
    11,    20,  2.24704e+04, -8.32464e+01, -1.26019e-02,  1.95845e-02,  1.01299e+01, -6.81391e+04,
    11,    27, -2.21112e+04,  8.32464e+01,  1.26019e-02, -1.95845e-02,  1.00803e+01, -6.55471e+04,
    12,    27,  1.12376e+04, -1.09637e+02, -4.36769e-03,  5.91710e-03,  3.20469e+00, -7.66790e+04,
    12,    34, -1.09034e+04,  1.09637e+02,  4.36769e-03, -5.91710e-03,  3.24420e+00, -8.52540e+04,
    13,     8,  3.26552e+04,  2.63670e+01, -4.04454e+01, -3.48053e-01,  3.10911e+04,  1.34392e+04,
    13,    21, -3.22737e+04, -2.63670e+01,  4.04454e+01,  3.48053e-01,  3.61230e+04,  2.96141e+04,
    14,    21,  2.17542e+04,  5.36885e+01, -5.02399e+01, -2.74758e+00,  4.07388e+04,  4.42191e+04,
    14,    28, -2.13951e+04, -5.36885e+01,  5.02399e+01,  2.74758e+00,  3.96416e+04,  4.11525e+04,
    15,    28,  1.08594e+04,  7.83014e+01, -7.75072e+01, -1.64198e+01,  5.04694e+04,  5.39424e+04,
    15,    35, -1.05252e+04, -7.83014e+01,  7.75072e+01,  1.64198e+01,  6.38487e+04,  6.13690e+04,
    16,    11,  3.27440e+04, -5.98117e+01, -4.05236e+01, -2.87874e-01,  3.11453e+04, -4.33483e+04,
    16,    22, -3.23625e+04,  5.98117e+01,  4.05236e+01,  2.87874e-01,  3.61990e+04, -5.67244e+04,
    17,    22,  2.18044e+04, -8.66646e+01, -5.03778e+01, -2.80458e+00,  4.08447e+04, -7.09211e+04,
    17,    29, -2.14453e+04,  8.66646e+01,  5.03778e+01,  2.80458e+00,  3.97567e+04, -6.81880e+04,
    18,    29,  1.08754e+04, -1.06544e+02, -7.79127e+01, -1.64731e+01,  5.07366e+04, -7.41413e+04,
