# This is a catalog of steel sections for use with the microstran model parser, 																		
# and maybe even other purposes.																		
# The idea is that each line contains all that is necessary to define a section																		
# starting with a name (no spaces) and a section type (eg CHS).																		
# Then any following fields will be those expected for the type of section in 																		
# question. Different types will have different parameters.																		
# Lines starting with a '#' will be comment lines. Fields should be																		
# tab delimited so that this file can be comfortably edited with a spreadsheet.																		
# Section names should conform to those used by Microstran so that we can																		
# Use a string-based lookup to access section data from this file.																		
#
# WARNING!!!!
# If you are using a spreadsheet to edit this file, set the format for all cells
# to 'text', or else you will lose precision in the data!
#																		
#-------------------------------------------------------------------------------																		
# DIMENSIONS AND PROPERTIES																		
# ONESTEEL TUBELINE® CIRCULAR HOLLOW SECTIONS																		
# GRADE C350L0 (TUBELINE 350L0 - TYPE 2(1) AND TYPE 3(2))																		
#																		
#DIMENSIONS_AND_RATIOS	.	.	.	.	.	.	.	PROPERTIES	.	.	.	.	.	.	DESIGN_TO_AS_4100			
#NAME	TYPE	OD	thickness	Mass_per_m	External_surface_area	.	.	Gross_section_area	About_any_axis	.	.	.	Torsion_constant	Torsion_modulus	Form_factor	About_any_axis		
#	CHS	do	t	m/L	sfc/L	sfc/m	do/t	A_g	I	Z	S	r	J	C	k_f	λ_s	Compactness	Ze
#	CHS	mm	mm	kg/m	m²/m	m²/t	-	mm²	1E6mm^4	10³mm³	10³mm³	mm	1E6mm^4	10³mm³	-	-	(C,N,S)	10³mm³
457.0X12.7CHS	CHS	457.0	12.7	139	1.44	10.3	36.0	17700	438	1920	2510	157	876	3830	1.00	50.4	N	2500
457.0X9.5CHS	CHS	457.0	9.5	105	1.44	13.7	48.1	13400	334	1460	1900	158	669	2930	1.00	67.3	N	1790
457.0X6.4CHS	CHS	457.0	6.4	71.1	1.44	20.2	71.4	9060	230	1010	1300	159	460	2010	0.904	100	N	1090
406.4X12.7CHS	CHS	406.4	12.7	123	1.28	10.4	32.0	15700	305	1500	1970	139	609	3000	1.00	44.8	C	1970
406.4X9.5CHS	CHS	406.4	9.5	93.0	1.28	13.7	42.8	11800	233	1150	1500	140	467	2300	1.00	59.9	N	1450
406.4X6.4CHS	CHS	406.4	6.4	63.1	1.28	20.2	63.5	8040	161	792	1020	141	322	1580	0.960	88.9	N	895
355.6X12.7CHS	CHS	355.6	12.7	107	1.12	10.4	28.0	13700	201	1130	1490	121	403	2260	1.00	39.2	C	1490
355.6X9.5CHS	CHS	355.6	9.5	81.1	1.12	13.8	37.4	10300	155	871	1140	122	310	1740	1.00	52.4	N	1130
355.6X6.4CHS	CHS	355.6	6.4	55.1	1.12	20.3	55.6	7020	107	602	781	123	214	1200	1.00	77.8	N	710
323.9X12.7CHS	CHS	323.9	12.7	97.5	1.02	10.4	25.5	12400	151	930	1230	110	301	1860	1.00	35.7	C	1230
323.9X9.5CHS	CHS	323.9	9.5	73.7	1.02	13.8	34.1	9380	116	717	939	111	232	1430	1.00	47.7	C	939
323.9X6.4CHS	CHS	323.9	6.4	50.1	1.02	20.3	50.6	6380	80.5	497	645	112	161	994	1.00	70.9	N	601
273.1X12.7CHS	CHS	273.1	12.7	81.6	0.858	10.5	21.5	10400	88.3	646	862	92.2	177	1290	1.00	30.1	C	862
273.1X9.3CHS	CHS	273.1	9.3	60.5	0.858	14.2	29.4	7710	67.1	492	647	93.3	134	983	1.00	41.1	C	647
273.1X6.4CHS	CHS	273.1	6.4	42.1	0.858	20.4	42.7	5360	47.7	349	455	94.3	95.4	699	1.00	59.7	N	441
273.1X4.8CHS	CHS	273.1	4.8	31.8	0.858	27.0	56.9	4050	36.4	267	346	94.9	72.8	533	1.00	79.7	N	312
219.1X8.2CHS	CHS	219.1	8.2	42.6	0.688	16.1	26.7	5430	30.3	276	365	74.6	60.5	552	1.00	37.4	C	365
219.1X6.4CHS	CHS	219.1	6.4	33.6	0.688	20.5	34.2	4280	24.2	221	290	75.2	48.4	442	1.00	47.9	C	290
219.1X4.8CHS	CHS	219.1	4.8	25.4	0.688	27.1	45.6	3230	18.6	169	220	75.8	37.1	339	1.00	63.9	N	210
